,학교명,주소,latitude,longitude
0,가톨릭대학교 성신교정,서울특별시 종로구 창경궁로 296-12,37.5857654,127.0048121
1,가톨릭대학교 성의교정,서울특별시 서초구 반포대로 222,37.5003974,127.0066599
2,건국대학교,서울특별시 광진구 능동로 120,37.5419717,127.0767285
3,경기대학교,서울특별시 서대문구 경기대로9길 24,37.5652583,126.9621734
4,경희대학교,서울특별시 동대문구 경희대로 26,37.5953632,127.0527612
5,고려대학교,서울특별시 성북구 안암로 145,37.5900117,127.0318586
6,광운대학교,서울특별시 노원구 광운로 20,37.6194277,127.05982
7,국민대학교,서울특별시 성북구 정릉로 77,37.6108694,126.9972889
8,동국대학교,서울특별시 중구 필동로1길 30,37.5585916,126.9997567
9,명지대학교,서울특별시 서대문구 거북골로 34,37.5794251,126.9214472
10,삼육대학교,서울특별시 노원구 화랑로 815,37.6431424,127.1062512
11,상명대학교,서울특별시 종로구 홍지문2길 20,37.6041771,126.9556929
12,서강대학교,서울특별시 마포구 백범로 35,37.5513353,126.9407371
13,서경대학교,서울특별시 성북구 서경로 124,37.6153765,127.0135494
14,서울대학교,서울특별시 관악구 관악로 1,37.4602626,126.9535979
15,서울과학기술대학교,서울특별시 노원구 공릉로 232,37.6324657,127.0786713
16,서울시립대학교,서울특별시 동대문구 서울시립대로 163,37.583383,127.0593032
17,성공회대학교,서울특별시 구로구 연동로 320,37.4877355,126.825157
18,성균관대학교,서울특별시 종로구 성균관로 25-2,37.5871833,126.9930833
19,세종대학교,서울특별시 광진구 능동로 209,37.5517986,127.0736331
20,숭실대학교,서울특별시 동작구 상도로 369,37.4963462,126.9568865
21,연세대학교,서울특별시 서대문구 연세로 50,37.564089,126.9389809
22,중앙대학교,서울특별시 동작구 흑석로 84,37.5049996,126.957378
23,총신대학교,서울특별시 동작구 사당로 143,37.4886232,126.9668169
24,한국외국어대학교,서울특별시 동대문구 이문로 107,37.5976171,127.0582192
25,한성대학교,서울특별시 성북구 삼선교로16길 116,37.5827584,127.0106694
26,한양대학교,서울특별시 성동구 왕십리로 222,37.5544649,127.0465971
27,홍익대학교,서울특별시 마포구 와우산로 94,37.55097689999999,126.9257006
28,케이씨대학교,서울특별시 강서구 까치산로24길 47,37.54905,126.8545309
29,서울교육대학교,서울특별시 서초구 서초중앙로 96,37.4899286,127.0158653
30,추계예술대학교,서울특별시 서대문구 북아현로11가길 7,37.5628641,126.9531684
31,한국예술종합학교 석관동캠,서울특별시 성북구 화랑로32길 146-37 ,37.6046612,127.0563852
32,한국예술종합학교 서초동캠,서울특별시 서초구 남부순환로 2374 ,37.4781439,127.0104866
33,한국체육대학교,서울 송파구 양재대로 1239,37.5201464,127.1308648
34,육군사관학교,서울특별시 노원구 공릉동 1-1,37.6201351,127.1041863
35,덕성여자대학교,서울특별시 도봉구 삼양로 144길 33,37.6511988,127.0161604
36,동덕여자대학교,서울특별시 성북구 화랑로 13길 60,37.6068163,127.0423832
37,서울여자대학교,서울특별시 노원구 화랑로 621,37.6292222,127.0905514
38,성신여자대학교,서울특별시 성북구 보문로 34다길 2,37.5927408,127.0224394
39,숙명여자대학교,서울특별시 용산구 청파로 47길 100,37.5463644,126.9648311
40,이화여자대학교,서울특별시 서대문구 이화여대길 52,37.5642551,126.9503079
41,감리교신학대학교,서울특별시 서대문구 독립문로 56,37.5674793,126.9619615
42,서울기독대학교,서울특별시 은평구 갈현로 4길 ,37.6012016,126.9124821
43,장로회신학대학교,서울특별시 광진구 광장로5길 25-1,37.550118,127.1038593
44,한국성서대학교,서울특별시 노원구 동일로 214길 32,37.6486885,127.0642073
45,서울한영대학교,서울특별시 구로구 경인로 290-42,37.496537,126.8511979
46,동양미래대학교,서울특별시 구로구 경인로 445,37.5021381,126.8666097
47,명지전문대학,서울특별시 서대문구 가좌로 134,37.5846465,126.9251874
48,삼육보건대학교,서울특별시 동대문구 망우로 82,37.5892778,127.0645418
49,서일대학교,서울특별시 중랑구 용마산로 90길,37.5874061,127.0970853
50,인덕대학교,서울특별시 노원구 초안산로 12,37.63137469999999,127.0555547
51,배화여자대학교,서울특별시 종로구 필운대로1길 34,37.5793895,126.9653816
52,서울여자간호대학교,서울특별시 서대문구 간호대로 38,37.597462,126.9475076
53,숭의여자대학교,서울특별시 중구 소파로2길 10,37.5567763,126.9875325
54,한양여자대학교,서울특별시 성동구 살곶이길 200,37.5580179,127.046734
55,국제예술대학교,서울특별시 강남구 도산대로30길 47,37.5168791,127.0310327
56,백석예술대학교,서울특별시 서초구 방배로9길 23,37.480308,126.9967862
57,정화예술대학교,서울특별시 중구 퇴계로16길 21,37.5598153,126.9847829
